,КодЗаказа,КодТовара,Цена_x,Количество,Скидка,Марка,КодПоставщика,КодТипа,ЕдиницаИзмерения,Цена_y,НаСкладе,Ожидается,МинимальныйЗапас,ПоставкиПрекращены,Категория,Описание
0,10248,11,140.0,23,0.0299999993,NuNuCa Nuss-Nougat-Creme,11,3,20 банок по 450 г,630.0,76,0,30,0,Кондитерские изделия,"Десерты, конфеты, джемы, муссы, сладкая выпечка"
1,10296,11,168.0,12,0.0,NuNuCa Nuss-Nougat-Creme,11,3,20 банок по 450 г,630.0,76,0,30,0,Кондитерские изделия,"Десерты, конфеты, джемы, муссы, сладкая выпечка"
2,10327,11,168.0,50,0.200000003,NuNuCa Nuss-Nougat-Creme,11,3,20 банок по 450 г,630.0,76,0,30,0,Кондитерские изделия,"Десерты, конфеты, джемы, муссы, сладкая выпечка"
3,10353,11,168.0,12,0.200000003,NuNuCa Nuss-Nougat-Creme,11,3,20 банок по 450 г,630.0,76,0,30,0,Кондитерские изделия,"Десерты, конфеты, джемы, муссы, сладкая выпечка"
4,10365,11,168.0,24,0.0,NuNuCa Nuss-Nougat-Creme,11,3,20 банок по 450 г,630.0,76,0,30,0,Кондитерские изделия,"Десерты, конфеты, джемы, муссы, сладкая выпечка"
5,10407,11,168.0,30,0.0,NuNuCa Nuss-Nougat-Creme,11,3,20 банок по 450 г,630.0,76,0,30,0,Кондитерские изделия,"Десерты, конфеты, джемы, муссы, сладкая выпечка"
6,10434,11,168.0,6,0.0,NuNuCa Nuss-Nougat-Creme,11,3,20 банок по 450 г,630.0,76,0,30,0,Кондитерские изделия,"Десерты, конфеты, джемы, муссы, сладкая выпечка"
7,10442,11,168.0,30,0.0,NuNuCa Nuss-Nougat-Creme,11,3,20 банок по 450 г,630.0,76,0,30,0,Кондитерские изделия,"Десерты, конфеты, джемы, муссы, сладкая выпечка"
8,10443,11,168.0,6,0.200000003,NuNuCa Nuss-Nougat-Creme,11,3,20 банок по 450 г,630.0,76,0,30,0,Кондитерские изделия,"Десерты, конфеты, джемы, муссы, сладкая выпечка"
9,10466,11,168.0,10,0.0,NuNuCa Nuss-Nougat-Creme,11,3,20 банок по 450 г,630.0,76,0,30,0,Кондитерские изделия,"Десерты, конфеты, джемы, муссы, сладкая выпечка"
10,10486,11,168.0,5,0.0,NuNuCa Nuss-Nougat-Creme,11,3,20 банок по 450 г,630.0,76,0,30,0,Кондитерские изделия,"Десерты, конфеты, джемы, муссы, сладкая выпечка"
11,10489,11,168.0,15,0.25,NuNuCa Nuss-Nougat-Creme,11,3,20 банок по 450 г,630.0,76,0,30,0,Кондитерские изделия,"Десерты, конфеты, джемы, муссы, сладкая выпечка"
12,10528,11,210.0,3,0.0,NuNuCa Nuss-Nougat-Creme,11,3,20 банок по 450 г,630.0,76,0,30,0,Кондитерские изделия,"Десерты, конфеты, джемы, муссы, сладкая выпечка"
13,10535,11,210.0,50,0.10000000099999999,NuNuCa Nuss-Nougat-Creme,11,3,20 банок по 450 г,630.0,76,0,30,0,Кондитерские изделия,"Десерты, конфеты, джемы, муссы, сладкая выпечка"
14,10542,11,210.0,15,0.050000000700000005,NuNuCa Nuss-Nougat-Creme,11,3,20 банок по 450 г,630.0,76,0,30,0,Кондитерские изделия,"Десерты, конфеты, джемы, муссы, сладкая выпечка"
15,10545,11,210.0,10,0.0,NuNuCa Nuss-Nougat-Creme,11,3,20 банок по 450 г,630.0,76,0,30,0,Кондитерские изделия,"Десерты, конфеты, джемы, муссы, сладкая выпечка"
16,10553,11,210.0,15,0.0,NuNuCa Nuss-Nougat-Creme,11,3,20 банок по 450 г,630.0,76,0,30,0,Кондитерские изделия,"Десерты, конфеты, джемы, муссы, сладкая выпечка"
17,10566,11,210.0,35,0.150000006,NuNuCa Nuss-Nougat-Creme,11,3,20 банок по 450 г,630.0,76,0,30,0,Кондитерские изделия,"Десерты, конфеты, джемы, муссы, сладкая выпечка"
18,10570,11,210.0,15,0.050000000700000005,NuNuCa Nuss-Nougat-Creme,11,3,20 банок по 450 г,630.0,76,0,30,0,Кондитерские изделия,"Десерты, конфеты, джемы, муссы, сладкая выпечка"
19,10614,11,210.0,14,0.0,NuNuCa Nuss-Nougat-Creme,11,3,20 банок по 450 г,630.0,76,0,30,0,Кондитерские изделия,"Десерты, конфеты, джемы, муссы, сладкая выпечка"
20,10637,11,210.0,10,0.0,NuNuCa Nuss-Nougat-Creme,11,3,20 банок по 450 г,630.0,76,0,30,0,Кондитерские изделия,"Десерты, конфеты, джемы, муссы, сладкая выпечка"
