КодЗаказа,КодКлиента,КодСотрудника,ДатаРазмещения,ДатаНазначения,ДатаИсполнения,Доставка,СтоимостьДоставки,НазваниеПолучателя,АдресПолучателя,ГородПолучателя,ОбластьПолучателя,ИндексПолучателя,СтранаПолучателя
10248,"WARTH",5,"07/04/96 00:00:00","08/01/96 00:00:00","07/16/96 00:00:00",2,32.3800,"Wartian Herkku","Torikatu 38","Оулу",,"90110","Финляндия"
10249,"TOMSP",6,"07/05/96 00:00:00","08/16/96 00:00:00","07/10/96 00:00:00",1,11.6100,"Toms Spezialitaten","Luisenstr. 48","Мюнстер",,"44087","Германия"
10250,"HANAR",4,"07/08/96 00:00:00","08/05/96 00:00:00","07/12/96 00:00:00",2,65.8300,"Hanari Carnes","Rua do Paco, 67","Рио-де-Жанейро","RJ","05454-876","Бразилия"
10251,"VICTE",3,"07/08/96 00:00:00","08/05/96 00:00:00","07/15/96 00:00:00",1,41.3400,"Victuailles en stock","2, rue du Commerce","Лион",,"69004","Франция"
10252,"SUPRD",4,"07/09/96 00:00:00","08/06/96 00:00:00","07/11/96 00:00:00",2,51.3000,"Supremes delices","Boulevard Tirou, 255","Шарлеруа",,"B-6000","Бельгия"
10253,"HANAR",3,"07/10/96 00:00:00","07/24/96 00:00:00","07/16/96 00:00:00",2,58.1700,"Hanari Carnes","Rua do Paco, 67","Рио-де-Жанейро","RJ","05454-876","Бразилия"
10254,"CHOPS",5,"07/11/96 00:00:00","08/08/96 00:00:00","07/23/96 00:00:00",2,22.9800,"Chop-suey Chinese","Hauptstr. 31","Берн",,"3012","Швейцария"
10255,"RICSU",9,"07/12/96 00:00:00","08/09/96 00:00:00","07/15/96 00:00:00",3,148.3300,"Richter Supermarkt","Starenweg 5","Женева",,"1204","Швейцария"
10256,"WELLI",3,"07/15/96 00:00:00","08/12/96 00:00:00","07/17/96 00:00:00",2,13.9700,"Wellington Importadora","Rua do Mercado, 12","Ресенде","SP","08737-363","Бразилия"
10257,"HILAA",4,"07/16/96 00:00:00","08/13/96 00:00:00","07/22/96 00:00:00",3,81.9100,"HILARION-Abastos","Carrera 22 con Ave. Carlos Soublette #8-35","Сан-Кристобаль","Tochira","5022","Венесуэлла"
10258,"ERNSH",1,"07/17/96 00:00:00","08/14/96 00:00:00","07/23/96 00:00:00",1,140.5100,"Ernst Handel","Kirchgasse 6","Грасс",,"8010","Австрия"
10259,"CENTC",4,"07/18/96 00:00:00","08/15/96 00:00:00","07/25/96 00:00:00",3,3.2500,"Centro comercial Moctezuma","Sierras de Granada 9993","Мехико",,"05022","Мексика"
10260,"OTTIK",4,"07/19/96 00:00:00","08/16/96 00:00:00","07/29/96 00:00:00",1,55.0900,"Ottilies Kaseladen","Mehrheimerstr. 369","Кельн",,"50739","Германия"
